word	count	sentence	rewritten
latvians	1	People from Latvia are called Latvians, and they speak the Latvian language.	
launceston	1	Tasmania has four cities: Hobart, Launceston, Devonport, and Burnie.	
laundromat	1	You can wash clothes at a laundromat.	You can wash clothes at a place with washing machines.
laurasia	1	Long ago, the British Isles were part of a big land called Laurasia.	
laureates	1	People who win a Nobel Prize are called laureates.	People who win a big prize are called winners.
lavash	1	Last, you eat flat bread called lavash.	Last, you eat flat bread.
lavoisier's	1	This is Antoine Lavoisier's book.	
lawnmowers	1	Some machines like lawnmowers use gas.	Some machines like grass cutters use gas.
laylat	1	There is also a night called Laylat al-Qadr, when the holy book of Muslims, the Qur'an, was first shown to people.	
lb	1	The word 'lb' is short for a word that means weight.	
le	1	The most famous endurance race is the 24 Hours of Le Mans in France.	
leader's	1	The leader's job goes from parent to child.	
leah	1	Laban tricked Jacob into marrying Leah first.	
learners	1	Wow, young learners are so eager!	Wow, young kids are so eager!
leatherjackets	1	Baby crane flies are called leatherjackets.	Baby crane flies are called little bugs.
leatherwood	1	One special tree is the Leatherwood tree.	One special tree is a tree with a funny name.
leeds	1	Other big cities are Birmingham, Liverpool, Manchester, and Leeds.	
leeuwenhoek	1	A man named Antonie van Leeuwenhoek used a special tool called a microscope to see tiny living things.	
leg's	1	My leg's skin is soft.	The skin on my leg is soft.
leggings	1	Some clothes are stretchy, like socks and leggings.	Some clothes are stretchy, like socks and tight pants.
legos	1	Building blocks, Legos, and clay are for building.	Building blocks, toy bricks, and clay are for building.
legume	1	It is not a nut, but a legume, like beans.	It is not a nut, but a seed pod, like beans.
lehmann	1	It was discovered by a woman named Inge Lehmann.	
lemon-lime	1	Some common kinds are cola, lemon-lime, and orange.	
lender	1	If you do not pay back, the lender can take the house.	If you do not pay back, the person who gave you money can take the house.
leningrad	1	Later it was called Leningrad.	
leto	1	She is the daughter of Zeus and Leto, and the twin sister of Apollo.	
lev	1	Their money is called lev.	
leveret	1	A baby hare is called a leveret.	A baby hare is called a little hare.
levi's	1	Levi's family keeps kosher at home.	
leviticus	1	These books are called Genesis, Exodus, Leviticus, Numbers, and Deuteronomy.	
lewis	1	The story was written by Lewis Carroll a long time ago.	
liar	1	A person who tells lies is a liar.	A person who tells lies is a person who does not tell the truth.
libertarianism	1	Liberalism wants more government help, libertarianism wants less.	Liberalism wants more government help, and the other side wants less.
librarians	1	People who work in libraries are librarians.	People who work in libraries are library helpers.
libyans	1	The people are called Libyans.	
licenses	1	In India, many people have licenses for amateur radio.	In India, many people have special papers for amateur radio.
lichtenstein	1	Artists like Andy Warhol and Roy Lichtenstein made pop art.	
lieutenants	1	Some officers are captains or lieutenants.	Some officers are captains or helpers.
lifelike	1	Realism is in a lifelike painting, but a cartoon has no realism.	Realism is in a painting that looks real, but a cartoon does not look real.
lifter	1	First, the lifter grabs the heavy bar.	First, the person who lifts grabs the heavy bar.
light-brown	1	It has light-brown skin and is white inside.	
light-year	1	A light-year is how far light goes in one year.	
lightermen	1	People who move barges are lightermen.	People who move big boats are boat movers.
lighters	1	People put butane in lighters to make fire.	People put butane in fire starters to make fire.
ligo	1	In 2015, scientists found them for the first time using a special machine called LIGO.	
likelihood	1	Probability, chance, and likelihood mean how sure we are.	Probability, chance, and how sure we are mean the same thing.
lila's	1	Lila's family celebrates Shia traditions at home.	
lilongwe	1	The capital city is Lilongwe.	
limb	1	A brain is an organ, but a hand is a limb.	A brain is a body part inside, but a hand is a body part that sticks out.
limp	1	Some people walk with a limp.	Some people walk with a funny step.
lin	1	Lin bows to it and whispers a thank-you.	
lin's	1	Lin's family lights red candles for the kitchen god every year.	
lina's	1	Lina's mom is a domestic worker.	
linh	1	My friend Linh comes from Vietnam.	
linoleum	1	Some prints are made with wood blocks or linoleum.	Some prints are made with wood blocks or a special floor material.
lipstick	1	Lipstick, powder, and lotion are makeup.	Lip color, powder, and lotion are makeup.
lipsticks	1	Two are lipsticks and three are small bottles.	Two are lip colors and three are small bottles.
lisa's	1	Lisa's mom helps her invite the children.	
literary	1	Literary arts are words, like stories and poems.	Word arts are words, like stories and poems.
literate	1	If you can read and write, you are literate.	If you can read and write, you can do those things.
lithium	1	Hydrogen, helium, and lithium are on the science chart.	
livebearers	1	That is why guppies are called livebearers.	That is why guppies are called fish that have live babies.
locke's	1	John Locke's chair is big.	
locking	1	My parents keep our home safe by locking the door.	My parents keep our home safe by closing the door with a key.
logan	1	The city has a big airport called Logan Airport.	
lom	1	The capital city is Lomé.	
londinium	1	A long time ago, the Romans built a city there and called it Londinium.	
london's	1	London's clock is very tall.	
loneliness	1	Sadness and loneliness are feelings.	Sadness and feeling alone are feelings.
longlegs	1	Some people call crane flies daddy longlegs.	
loosely	1	Then, tie it loosely so it stays on.	Then, tie it not too tight so it stays on.
lopsided	1	It is not odd or lopsided.	It is not odd or not straight.
lords	1	Today, most countries do not give nobles special treatment, but in the United Kingdom, some nobles still have a seat in the House of Lords.	Today, most countries do not give special people special treatment, but in the United Kingdom, some special people still have a seat in the House of Lords.
loser	1	The judge may make the loser pay money.	The judge may make the person who did not win pay money.
lou	1	It is a short name with two parts: Lou and is.	
loudest	1	In 1883, it made the loudest sound ever.	In 1883, it made the most loud sound ever.
louisiana	1	New Orleans is a big city in the state of Louisiana, in the United States.	
louisville	1	It flows past many cities like Cincinnati and Louisville.	
lowlands	1	The country has high mountains and dry lowlands.	The country has high mountains and dry low lands.
lsch	1	People in Cologne speak a special way called Kölsch.	
luangwa	1	First, you go to a big park called South Luangwa.	
lub-dub	1	You can hear a heart go lub-dub.	
lucifer	1	In the Christian Bible, Satan was once an angel named Lucifer who thought he was as strong as God and was sent away from heaven.	
lucy's	1	Lucy's uncle went to a special place.	
ludo	1	Some games use a board, like Ludo.	
lugdunum	1	A long time ago, Lyon was called Lugdunum.	
lugus	1	They believed in many gods and goddesses, like Lugus and Cernunnos.	
lukashenko	1	Belarus has a president named Alexander Lukashenko.	
lulu's	1	She brushes Lulu's fur every morning.	
lumberjack	1	A person who cuts down trees is called a lumberjack.	A person who cuts down trees is called a tree cutter.
lunches	1	Some lunches have noodles or rice.	
luthier	1	A person who makes violas is called a luthier.	A person who makes violas is called a viola maker.
lydia	1	The first coins were made in a place called Lydia a very long time ago.	
lymph	1	Lymph is a liquid in the body.	
ma	1	Some famous cellists are Yo-Yo Ma and Jacqueline du Pré.	
maas	1	The city sits on a river called the Maas.	
mace	1	In his hands he holds a shell, a round disc, a mace, and a flower called a lotus.	In his hands he holds a shell, a round disc, a big stick, and a flower called a lotus.
macos	1	Examples are Windows, macOS, Android, and Linux.	
madeira	1	The country has islands in the ocean called the Azores and Madeira.	
madison	1	Abraham Lincoln was tall, but James Madison was short.	
madrasah	1	Tashkent has old buildings like a school called Kukeldash Madrasah and a pretty theater called Navoi Theater.	
madrile	1	People who live there are called madrileños.	
magandang	1	First, you say 'Magandang umaga' in Tagalog.	
magellan's	1	Magellan's sailors were the first to sail all the way around the world.	
maggot	1	A maggot is a baby fly.	
magyar	1	The Hungarian name for the language is "Magyar." Hungarian is different from many other languages in Europe.	
mahabaleshwar	1	Then, they go to the hills of Mahabaleshwar.	
mahabharata	1	Krishna was a real person who fought in a big war called the Mahabharata.	
mahadeva	1	People pray to Shiva and call him by many names, like Mahadeva, which means "great god." He is often shown with a snake around his neck and a trident in his hand.	
maharaj	1	A long time ago, a famous king named Shivaji Maharaj lived there.	
maia	1	He is the son of a big god named Zeus and a mother named Maia.	
mainz	1	Johannes Gutenberg worked in a city called Mainz in Germany.	
majuro	1	The capital city is called Majuro.	
makkah	1	If you go to Makkah, you can see the Kaaba.	
mal	1	The capital city is called Malé.	
malaysia's	1	Malaysia's big city is Kuala Lumpur.	
malu	1	The boys' tattoo is called Pe'a, and the girls' tattoo is called malu.	
managed	1	Can diabetes be managed with food?	Can diabetes be taken care of with food?
manages	1	A person manages diabetes with healthy food, exercise, and medicine.	A person takes care of diabetes with healthy food, exercise, and medicine.
manama	1	The biggest city is Manama.	
manaus	1	Big ships can travel on the river all the way to the city of Manaus in Brazil.	
mandalas	1	Mahayana mandalas have many bright colors and sharp lines.	
mandolins	1	I see two mandolins in the music room.	
manes	1	Two lions have two manes.	Two lions have two hairy necks.
mangaka	1	A person who draws manga is called a mangaka.	A person who draws Japanese comics is called a comic artist.
manger	1	Baby Jesus slept on straw in a manger.	Baby Jesus slept on straw in a food box for animals.
manipur	1	This place has seven states that are called the "seven sister states.Their names are Arunachal Pradesh, Assam, Manipur, Meghalaya, Mizoram, Nagaland, and Tripura.	
manitoba	1	There are two lakes in Manitoba.	
mans	1	The most famous endurance race is the 24 Hours of Le Mans in France.	
mansaf	1	The national food is mansaf.	The national food is a rice and meat dish.
manyatta	1	The women build houses called Manyatta.	
manzoni	1	Dante Alighieri wrote a long poem called The Divine Comedy." Another important writer is Alessandro Manzoni, who wrote a story called "The Betrothed." Many Italian writers have won a big prize called the Nobel Prize for their stories and poems.	
mao	1	In modern times, China became the People's Republic of China, led by Mao.	
maputo	1	The capital city is Maputo.	
marabou	1	The marabou stork is a big bird with wide wings.	The big stork is a big bird with wide wings.
maracas	1	Drums, maracas, and cymbals make sounds but not tunes.	Drums, shakers, and cymbals make sounds but not tunes.
march's	1	The march's sound is very loud.	The walk's sound is very loud.
mardi	1	Haiti has many holidays, and the biggest one is called Mardi Gras.	
mare	1	A girl horse is called a mare.	A girl horse is called a mommy horse.
margarines	1	Some margarines have fat that is not good for your heart.	Some soft spreads have fat that is not good for your heart.
marhaba	1	I say 'marhaba'.	
marigolds	1	Some flowers, like marigolds, are orange.	Some flowers, like orange flowers, are orange.
marimbas	1	Marimbas are xylophones with a softer sound.	Big wooden music makers are like xylophones with a softer sound.
marin	1	It goes over the water from San Francisco to another place called Marin County.	
mariner	1	The first one was Mariner 10, and the second one was MESSENGER.	
marineris	1	Mars has a big canyon called Valles Marineris.	
marinus	1	A man named Saint Marinus built a small church on a mountain, and that became San Marino.	
marionette	1	A marionette is a puppet with strings.	A string puppet is a puppet with strings.
marius	1	A man named Simon Marius found it a long time ago.	
marmora	1	The highest mountain is Punta La Marmora.	
marmoset	1	The pygmy marmoset is a very tiny monkey.	The tiny monkey is a very tiny monkey.
marmots	1	Many animals live in the Alps, like ibex, goats, and marmots.	Many animals live in the Alps, like ibex, goats, and big ground squirrels.
maroon	1	Red guavas are called maroon guava.	Red guavas are called red guava.
marrying	1	Laban tricked Jacob into marrying Leah first.	Laban tricked Jacob into taking Leah as his wife first.
marshallese	1	People there speak Marshallese and English.	People there speak their island language and English.
marthinus	1	The city was started a long time ago by a man named Marthinus Pretorius.	
martial's	1	A martial's flag is very big.	A fighter's flag is very big.
marvel	1	Later, superheroes from Marvel and DC Comics became action figures.	
marx's	1	Karl Marx's beard is long and white.	
masala	1	In India, people use garam masala spices.	In India, people use warm spice mix.
mashes	1	Your stomach mashes food into a soupy mix.	Your stomach squishes food into a soupy mix.
mashing	1	They make peanut butter by mashing seeds into paste.	They make peanut butter by squishing seeds into paste.
masons	1	Masons stack bricks with mortar.	Brick layers stack bricks with sticky stuff.
mass's	1	That mass's shape is round.	That thing's shape is round.
massif	1	It is called Tamu Massif.	
master's	1	A helper took care of his master's clothes.	A helper took care of his boss's clothes.
matchbox	1	The matchbox is small.	The tiny box for matches is small.
matchhead	1	A matchhead is dark red.	A match tip is dark red.
mathematician	1	Alan Turing was a famous mathematician.	Alan Turing was a famous number expert.
mathew	1	A man named Mathew Brady took war pictures.	
matisse	1	Another artist named Henri Matisse painted people dancing with bright colors.	
matter's	1	This matter's color is red.	This stuff's color is red.
mattered	1	She did not understand why it mattered so much.	She did not understand why it was so important.
mature	1	A mature river often has bridges over it.	An old river often has bridges over it.
matzo	1	Jewish people eat matzo during Passover.	Jewish people eat flat bread during a special holiday.
mavericks	1	Dallas has sports teams like the Dallas Cowboys for football, the Dallas Mavericks for basketball, and the Texas Rangers for baseball.	
maybe-yes	1	A maybe-yes is not a real yes.	A maybe is not a real yes.
mckinley	1	Some people call it Mount McKinley too.	
meadowlark	1	Birds like the meadowlark sing there.	Birds like the singing bird sing there.
mealtime	1	You use a plate at mealtime to hold your food.	You use a plate at eating time to hold your food.
mecca's	1	Mecca's big mosque has a flat roof.	
medell	1	Other big cities are Medellín, Cali, and Cartagena.	
medusa's	1	The shield has Medusa's head on it.	
meenakshi	1	Many people visit Madurai to see a big, beautiful temple called Meenakshi Amman Temple.	
megabyte	1	A megabyte is a big number of bytes.	A big byte is a big number of bytes.
meghalaya	1	This place has seven states that are called the "seven sister states.Their names are Arunachal Pradesh, Assam, Manipur, Meghalaya, Mizoram, Nagaland, and Tripura.	
meghna	1	Bangladesh has big rivers like the Padma and Meghna.	
melekeok	1	The capital city used to be Koror, but now it is Melekeok.	
mellon	1	Mellon gave money and art to help start the museum.	
memphis	1	Many cities sit next to it, like Memphis.	
menat	1	She wore a heavy necklace called a menat.	She wore a heavy necklace called a big necklace.
mendeleev's	1	This is Dmitri Mendeleev's picture.	
mercury's	1	They took pictures of Mercury's surface.	They took pictures of the planet's ground.
merhaba	1	If you want to learn Turkish, first learn some easy words like 'merhaba' for hello.	
merlion	1	A merlion is a statue in Singapore, but a real lion lives in Africa.	
merlions	1	Lions, merlions, and dragons are all symbols you can see in Singapore.	Lions, lion statues, and dragons are all symbols you can see in Singapore.
mermaid's	1	It lays eggs in a case called a mermaid's purse.	It lays eggs in a case called a mermaid's bag.
methodism	1	Protestantism is to Martin Luther as Methodism is to John Wesley.	
methodius	1	Long ago, two men named Cyril and Methodius made an early version of this alphabet.	
metrocard	1	If you want to ride the New York City subway, first buy a MetroCard.	
metroplex	1	It is part of a group of cities called the Metroplex.	
mexico's	1	Mexico's beaches are pretty.	The country's beaches are pretty.
mid-autumn	1	People in China have a holiday called the Mid-Autumn Festival.	
midgard	1	The world where people live is called Midgard.	
miftah	1	It is “miftah”.	
mila's	1	Mila's grandma told her stories about old people.	
millennium	1	You can see a big park by the lake called Millennium Park.	
milwaukee	1	A long time ago, people called the lake "great water."Many people live near the lake in Chicago and Milwaukee.	
minuses	1	Plus and minus pull together, but two pluses or two minuses push apart.	
mir	1	Other space stations were Skylab and Mir.	
miranda	1	The five biggest moons are Miranda, Ariel, Umbriel, Titania, and Oberon.	
miriam	1	He had one sister named Miriam.	
miro	1	Some famous dream artists were Salvador Dali and Joan Miro.	
mirza	1	Some famous Urdu poets are Mirza Ghalib and Muhammad Iqbal.	
misha	1	Misha visited the big red building with his dad.	
miskito	1	Some people speak other languages like Miskito or English Creole.	
mitzvot	1	Jewish people follow many rules called mitzvot.	Jewish people follow many rules called good deeds.
miyajima	1	Near Hiroshima is a small island called Miyajima.	
mizoram	1	This place has seven states that are called the "seven sister states.Their names are Arunachal Pradesh, Assam, Manipur, Meghalaya, Mizoram, Nagaland, and Tripura.	
mm-hmm	1	Mm-hmm, so sweet!	
mmmm	1	I hear my sister say "mmmm" when she eats a delicious cookie.	
mmr	1	There is a shot called MMR that stops you from getting mumps.	There is a shot called a special shot that stops you from getting mumps.
mohawk	1	These tribes were the Mohawk, Oneida, Onondaga, Cayuga, and Seneca.	
mohenjo-daro	1	Mohenjo-daro, Harappa, and Dholavira are old cities.	
molly	1	Molly learned to tie her shoes all by herself.	
monolog	1	A dialog is when people talk together, but a monolog is when only one person talks.	A talk with two people is a dialog. A talk with one person is a monolog.
mons	1	It has the biggest mountain in the whole solar system, called Olympus Mons.	
monterey	1	You can see kelp in some aquariums, like the big one in Monterey.	
moonwalk	1	He moved his feet in a bumpy, quick way called the moonwalk.	
moorea	1	Other islands have pretty names like Bora Bora and Moorea.	
moray	1	A fish called a moray eel even has two sets of jaws.	
moroni	1	The capital city is Moroni.	
mqi	1	The biggest city is called Ürümqi, and it is very far from any ocean.	
mrt	1	People call it the MRT.	
mtkvari	1	Many rivers flow through Georgia, and the biggest one is the Mtkvari.	
mtr	1	The MTR trains in Hong Kong make a soft whoosh sound.	
mtv	1	Some TV channels like MTV play music videos all day.	
muay	1	It is also called Muay Thai.	
mubarak	1	She hugged her mom and said, "Eid Mubarak!"	
murga	1	In Uruguay, people sing and play drums in groups called murga.	
murres	1	Some birds are puffins, murres, and razorbills.	
murrumbidgee	1	Many rivers join the Murray, like the Darling and the Murrumbidgee.	
mustafa	1	Then a man named Mustafa Kemal Atatürk changed the letters to the ones we use in English.	
naismith	1	The game was invented by James Naismith in 1891.	
namib	1	The country is very dry and has a big desert called the Namib Desert.	
nanna	1	Some kids call them nanna, papa, or other sweet names.	
naples	1	It is in Italy, near a city called Naples.	
narnia	1	Lily loved to read about the magical land of Narnia.	
narodnaya	1	The tallest part is called Mount Narodnaya.	
narwhals	1	Many animals live there, like beluga whales, walruses, narwhals, seals, and polar bears.	Many animals live there, like white whales, walruses, narwhals, seals, and polar bears.
nascar	1	NASCAR races use cars that look like regular cars but are made for racing.	
nasdaq	1	Others are on computers, like the NASDAQ.	
nashville	1	The city of Nashville, Tennessee is a big place for country music.	
nastaliq	1	When they write Urdu, they use different pretty letters called Nastaliq.	
nata	1	She ate a sweet cake called pastel de nata.	
nativity	1	Jesus and the baby are people in the nativity set.	Jesus and the baby are people in the Christmas set.
navoi	1	Tashkent has old buildings like a school called Kukeldash Madrasah and a pretty theater called Navoi Theater.	
naypyidaw	1	The capital city is Naypyidaw.	
ncipe	1	If you visit São Tomé and Príncipe, you will see beautiful beaches.	
neatness	1	Disorder is to mess as order is to neatness.	Disorder is to mess as order is to being tidy.
nebraska	1	It flows east and then south through many states like North Dakota, South Dakota, Iowa, Nebraska, Missouri, and Kansas.	
neckerchief	1	A Scout wears a special shirt and a neckerchief.	A Scout wears a special shirt and a neck scarf.
nectarine	1	A peach without fuzz is called a nectarine.	A peach without fuzz is called a smooth peach.
nee	1	Some words are easy: "ja" means yes, and "nee" means no.	
neem	1	An ashoka tree, a mango tree, and a neem tree are all trees.	
neeps	1	In some places, people call big turnips neeps or swedes.	
nephews	1	I have two nephews.	I have two boys who are my sister's sons.
nessie	1	Last, you look for the monster Nessie.	
nessus	1	Two famous centaurs are Chiron and Nessus.	
nesting	1	Migration, hibernation, and nesting are things animals do with the seasons.	Moving to a new place, sleeping through winter, and making a nest are things animals do with the seasons.
neumes	1	Long ago, people wrote music with dots and lines called neumes.	Long ago, people wrote music with dots and lines called old music notes.
neutral	1	That is called being neutral.	That is called not picking a side.
neva	1	First, you walk along the Neva River.	
newest	1	The popular kids have the newest style.	The popular kids have the very new style.
newfoundlanders	1	Many people live there, and they are called Newfoundlanders.	
newsstand	1	Dad went to the newsstand to buy a new magazine.	Dad went to the magazine stand to buy a new magazine.
newt's	1	First, the newt's body starts to heal the spot.	
newtons	1	The strength of a force is measured in newtons.	The strength of a force is measured in units called newtons.
ngo	1	A nonprofit can also be called an NGO when it works on big world problems.	
ngorongoro	1	The Serengeti also has a big hole in the ground called Ngorongoro Crater, where many animals live.	
nhi	1	Long ago, two sisters named Trung Trac and Trung Nhi led a fight to chase away the Chinese ruler.	
nhl	1	The best players play in the NHL, which has 32 teams.	
niamey	1	The capital city is Niamey.	
nice-touch	1	A nice-touch game is fun.	
nicol	1	Badminton player Lee Chong Wei and squash player Nicol David are famous athletes from Malaysia.	
nicosia	1	The capital city is Nicosia.	
nightgown	1	Pajamas, a nightgown, and slippers are things I wear to bed.	Pajamas, a night dress, and slippers are things I wear to bed.
nighthawks	1	Some people call them nighthawks.	Some people call them night birds.
nightmare	1	A bad dream is called a nightmare.	A bad dream is called a scary dream.
nightmares	1	Scary dreams are called nightmares.	Scary dreams are called bad dreams.
nikolaevich	1	For example, a boy named Ivan whose father is Nikolai might be called Ivan Nikolaevich.	
nikolai	1	For example, a boy named Ivan whose father is Nikolai might be called Ivan Nikolaevich.	
nimali	1	A little girl named Nimali speaks Sinhala at home.	
nine-ball	1	There are many kinds of pool games, like eight-ball and nine-ball.	
nino	1	The Spanish language has the sound 'ny' in 'nino', but the French language does not.	
nipples	1	My chest has two small nipples.	My chest has two small bumps.
nissart	1	Some people there speak a different language called Nissart.	
nits	1	Nits are stuck to hair and are hard to take off.	
nix	1	The other moons are named Nix, Hydra, Kerberos, and Styx.	
nnn	1	My friend says 'nnn' for N.	
noah's	1	We learn stories from the Bible like Noah's ark.	
nodding	1	Yes, nodding your head often means you agree.	Yes, moving your head up and down often means you agree.
non-breakable	1	If a toy is non-breakable, it will not break.	
non-formal	1	Non-formal education is for people not in school.	
non-living	1	Living things can grow, but non-living things cannot.	
non-sleeping	1	It is also called the Non-sleeping city because it is always busy.	It is also called the city that never sleeps because it is always busy.
non-sticky	1	If something is non-sticky, it does not stick.	
non-stop	1	You see it on signs like non-stop or non-toxic.	
non-toxic	1	You see it on signs like non-stop or non-toxic.	
nonfiction	1	Fiction and nonfiction are both types of writing.	
nonsense	1	You change the words into a jumble of letters that look like nonsense.	You change the words into a jumble of letters that look like silly words.
normally	1	People use the Latin script to write languages that normally use other letters.	People use the Latin script to write languages that usually use other letters.
norman	1	Some famous architects are Frank Lloyd Wright and Norman Foster.	
nosey	1	A busy-body is a nosey person.	A busy-body is a person who pokes into other people's stuff.
nostradamus	1	A famous prophet named Nostradamus lived many years ago.	
not-fun	1	A park is a fun place, but a hospital is a not-fun place.	
not-happy	1	Awesome is a happy word, but yucky is a not-happy word.	
not-ready	1	A ready cake is soft, but a not-ready cake is wet.	
not-so-good	1	It can also be a not-so-good thing, like biting your nails.	
notwane	1	Gaborone sits next to a river called the Notwane.	
nouakchott	1	The biggest city and capital is Nouakchott.	
novak	1	A famous tennis player from Serbia is Novak Djokovic.	
nstika	1	The ones that believe in the Vedas are called stika, and the ones that do not are called nstika.	
nuns	1	Some people in this religion are called monks and nuns.	Some people in this religion are called helpers and prayer helpers.
nuuk	1	The capital city is called Nuuk.	
ny	1	The Spanish language has the sound 'ny' in 'nino', but the French language does not.	
nymphs	1	Baby dragonflies live in the water and are called nymphs.	Baby dragonflies live in the water and are called water babies.
o'hare	1	Many airplanes fly in and out of O'Hare Airport, one of the busiest in the world.	
o's	1	She filled the grid with X's and O's.	She filled the grid with X marks and O marks.
oberon	1	The five biggest moons are Miranda, Ariel, Umbriel, Titania, and Oberon.	
obrigada	1	She says 'obrigada' and I understand it means 'thank you'.	
occator	1	Ceres has a big hole called Occator that has shiny white salt inside.	
occitan	1	People in Catalonia speak Catalan, Spanish, and a little Occitan.	
oceanography	1	Oceanography is about the big oceans that cover most of Earth.	Ocean study is about the big oceans that cover most of Earth.
oddi	1	The name Edda might come from a place called Oddi, where the writers lived.	
off-beat	1	The guitar plays a sound called a "skank" on the off-beat.	The guitar plays a sound called a "skank" on the not-strong beat.
officinalis	1	The kind people eat is called "Asparagus officinalis." It is a vegetable that comes up in spring.	
oh-la	1	It sounds like "oh-la" and means the same as "hello." You can hear it in places where people speak Spanish, like Spain or Mexico.	
ojibwe	1	The Ojibwe people call it Gitchigume.	
okavango	1	There is also a special place called the Okavango Delta where water and animals are found.	
okeechobee	1	In the middle of Florida is a very big, shallow lake called Lake Okeechobee.	
okonomiyaki	1	People in Osaka eat special foods like okonomiyaki and takoyaki.	
okuni	1	A woman named Izumo no Okuni started kabuki in 1603.	
old-style	1	This is different from old-style farming, which uses more people and less machines.	This is different from old farming, which uses more people and less machines.
ole	1	People there put on shows at a place called the Grand Ole Opry.	
olmecs	1	Long ago, people called the Olmecs, Mayans, and Aztecs lived there.	
olympian	1	Later, they fought a big war against the Olympian gods and lost.	Later, they fought a big war against the sky gods and lost.
olympians	1	Later, new gods called Olympians fought them and won.	Later, new gods called sky gods fought them and won.
omsk	1	Most people in Siberia live in big cities like Novosibirsk, Omsk, and Krasnoyarsk.	
one-and-twenty	1	Numbers in German are said backwards, like "one-and-twenty" for 21.	
one-celled	1	Some animals, like tiny one-celled creatures, do not get old the same way.	Some animals, like tiny one-part creatures, do not get old the same way.
one-player	1	There is also a one-player version called Mahjong Solitaire.	There is also a one-player game called Mahjong Solitaire.
one-third	1	Many countries grow sugar beets, and about one-third of all the sugar in the world comes from them.	Many countries grow sugar beets, and about one part of all the sugar in the world comes from them.
one-year-old	1	A one-year-old baby may not talk, but it can say one or two words.	
oneida	1	These tribes were the Mohawk, Oneida, Onondaga, Cayuga, and Seneca.	
onondaga	1	These tribes were the Mohawk, Oneida, Onondaga, Cayuga, and Seneca.	
ontologies	1	Ontologies can be big like a tree.	Big word lists can be big like a tree.
ooh	1	People watch it and say 'ooh' and 'aah'.	People watch it and say 'wow' and 'ah'.
opera's	1	The opera's music is slow at the end.	The music show's music is slow at the end.
oprah	1	A famous one is the show with Oprah Winfrey, where she talked to many different people.	
opry	1	People there put on shows at a place called the Grand Ole Opry.	
orbiter	1	The orbiter carried astronauts and cargo like satellites or parts of a space station.	The space plane carried people and things like satellites or parts of a space station.
org	1	The address often starts with 'www' and ends with something like '.com' or '.org'.	
organized	1	A civilization is a big group of people who live together in an organized way.	A big group of people who live together in a set way is called a civilization.
orizaba	1	The highest mountain is Pico de Orizaba.	
oruro	1	There is a big festival in Oruro with music and dancing.	
orville	1	The first person to fly a plane with a motor was Orville Wright in 1903.	
os	1	People who live there are called madrileños.	
osaka-ben	1	They also speak a different way of talking called Osaka-Ben.	
oscar	1	It is also called the Oscar.	
oshun	1	She shows him a small statue of Oshun, the goddess of rivers.	
oui	1	For example, the French word for 'yes' is 'oui', which sounds like 'we'.	
ovals	1	Ovaries are shaped like little ovals.	Egg makers are shaped like little egg shapes.
owing	1	People use negative numbers to show things like owing money or temperatures below freezing.	People use minus numbers to show things like needing to pay money or cold below freezing.
oxfam	1	Some examples are Oxfam and World Vision.	
oxford	1	People call it the "Oxford of the East" because so many students go there to learn.	
ozama	1	The city sits where the Ozama River meets the sea.	
ozone	1	Higher up, in the sky, there is a special layer called the ozone layer that blocks harmful sun rays.	Higher up, in the sky, there is a special layer that blocks bad sun rays.
padma	1	Bangladesh has big rivers like the Padma and Meghna.	
padres	1	San Diego also has a baseball team called the San Diego Padres.	
page's	1	The page's corner is bent.	
pahoehoe	1	Other lava is thin and flows faster, like pahoehoe, which looks like twisted rope.	
paintbrushes	1	Paintbrushes can be made from animal hair or man-made materials.	Paint brushes can be made from animal hair or man-made stuff.
painting's	1	The painting's colors are bright.	
pakistani	1	Cumin is used a lot in Indian and Pakistani cooking.	
paleolithic	1	Neolithic revolution is to staying as paleolithic is to moving.	New Stone Age change is to staying as Old Stone Age is to moving.
pali	1	Theravada Buddhists follow the Pali Canon, the earliest Buddhist texts.	
palikir	1	The capital city is Palikir.	
palma	1	There are seven big islands: La Palma, La Gomera, El Hierro, Tenerife, Gran Canaria, Lanzarote, and Fuerteventura.	
palmeiras	1	Football is very popular, and there are big teams like Corinthians, Palmeiras, and São Paulo.	
panthalassa	1	A huge ocean called Panthalassa was all around it.	
pao	1	Some well-known dishes are Kung Pao chicken and Twice Cooked Pork.	
paperclips	1	When you turn on the electricity, the magnet can pick up metal things like paperclips or nails.	When you turn on the power, the magnet can pick up metal things like clips or nails.
parallelogram	1	A parallelogram has two pairs of parallel sides.	A shape with two pairs of same-way sides is called a parallelogram.
paralympians	1	The players, called Paralympians, may use special wheelchairs or running legs.	The players, called special sports people, may use special wheelchairs or running legs.
parameter	1	A variable, a constant, and a parameter are all things in a program that hold values.	A changing thing, a fixed thing, and a setting thing are all things in a program that hold values.
parano	1	There are big roads and a large lake called Lake Parano.	
parisian	1	Her teacher says she sounds like a real Parisian girl.	Her teacher says she sounds like a real Paris girl.
parliaments	1	Some parliaments have two parts: one that makes the laws and one that checks the laws.	Some rule groups have two parts: one that makes the rules and one that checks the rules.
partial	1	That is a partial lunar eclipse.	That is a part moon hiding.
parvati	1	Ganesha is the son of Shiva and Parvati.	
parvati's	1	Some stories say she came from the goddess Parvati's anger.	
pashto	1	People in Afghanistan speak Dari and Pashto.	
